# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
num_elements;(vector x);int;452
operator!;(int x);int;426
operator!;(real x);int;426
operator!=;(int x, int y);int;425
operator!=;(real x, real y);int;425
operator&&;(int x, int y);int;426
operator&&;(real x, real y);int;426
operator';(matrix x);matrix;456
operator';(row_vector x);vector;456
operator';(vector x);row_vector;456
operator*;(int x, int y);int;419
operator*;(matrix x, matrix y);matrix;454
operator*;(matrix x, real y);matrix;454
operator*;(matrix x, vector y);vector;454
operator*;(real x, matrix y);matrix;453
operator*;(real x, real y);real;428
operator*;(real x, row_vector y);row_vector;453
operator*;(real x, vector y);vector;453
operator*;(row_vector x, matrix y);row_vector;454
operator*;(row_vector x, real y);row_vector;454
operator*;(row_vector x, vector y);real;454
operator*;(vector x, real y);vector;453
operator*;(vector x, row_vector y);matrix;454
operator*=;(int x, int y);void;480
operator*=;(matrix x, matrix y);void;481
operator*=;(matrix x, real y);void;480
operator*=;(real x, real y);void;480
operator*=;(row_vector x, matrix y);void;481
operator*=;(row_vector x, real y);void;480
operator*=;(vector x, real y);void;480
operator+;(int x);int;419
operator+;(int x, int y);int;419
operator+;(matrix x, matrix y);matrix;453
operator+;(matrix x, real y);matrix;454
operator+;(real x);real;428
operator+;(real x, matrix y);matrix;454
operator+;(real x, real y);real;427
operator+;(real x, row_vector y);row_vector;454
operator+;(real x, vector y);vector;454
operator+;(row_vector x, real y);row_vector;454
operator+;(row_vector x, row_vector y);row_vector;453
operator+;(vector x, real y);vector;454
operator+;(vector x, vector y);vector;453
operator+=;(int x, int y);void;479
operator+=;(matrix x, matrix y);void;479
operator+=;(matrix x, real y);void;479
operator+=;(real x, real y);void;479
operator+=;(row_vector x, real y);void;479
operator+=;(row_vector x, row_vector y);void;479
operator+=;(vector x, real y);void;479
operator+=;(vector x, vector y);void;479
operator-;(int x);int;419
operator-;(int x, int y);int;419
operator-;(matrix x);matrix;453
operator-;(matrix x, matrix y);matrix;453
operator-;(matrix x, real y);matrix;455
operator-;(real x);real;428
operator-;(real x, matrix y);matrix;455
operator-;(real x, real y);real;428
operator-;(real x, row_vector y);row_vector;455
operator-;(real x, vector y);vector;455
operator-;(row_vector x);row_vector;453
operator-;(row_vector x, real y);row_vector;455
operator-;(row_vector x, row_vector y);row_vector;453
operator-;(vector x);vector;453
operator-;(vector x, real y);vector;454
operator-;(vector x, vector y);vector;453
operator-=;(int x, int y);void;480
operator-=;(matrix x, matrix y);void;480
operator-=;(matrix x, real y);void;480
operator-=;(real x, real y);void;480
operator-=;(row_vector x, real y);void;480
operator-=;(row_vector x, row_vector y);void;480
operator-=;(vector x, real y);void;480
operator-=;(vector x, vector y);void;480
operator.*;(matrix x, matrix y);matrix;455
operator.*;(row_vector x, row_vector y);row_vector;455
operator.*;(vector x, vector y);vector;455
operator.*=;(matrix x, matrix y);void;481
operator.*=;(row_vector x, row_vector y);void;481
operator.*=;(vector x, vector y);void;481
operator./;(matrix x, matrix y);matrix;456
operator./;(matrix x, real y);matrix;456
operator./;(real x, matrix y);matrix;456
operator./;(real x, row_vector y);row_vector;456
operator./;(real x, vector y);vector;455
operator./;(row_vector x, real y);row_vector;456
operator./;(row_vector x, row_vector y);row_vector;456
operator./;(vector x, real y);vector;455
operator./;(vector x, vector y);vector;455
operator./=;(matrix x, matrix y);void;482
operator./=;(matrix x, real y);void;482
operator./=;(row_vector x, real y);void;482
operator./=;(row_vector x, row_vector y);void;481
operator./=;(vector x, real y);void;482
operator./=;(vector x, vector y);void;481
operator/;(int x, int y);int;419
operator/;(matrix B, matrix A);matrix;468
operator/;(matrix x, real y);matrix;455
operator/;(real x, real y);real;428
operator/;(row_vector b, matrix A);row_vector;468
operator/;(row_vector x, real y);row_vector;455
operator/;(vector x, real y);vector;455
operator/=;(int x, int y);void;481
operator/=;(matrix x, real y);void;481
operator/=;(real x, real y);void;481
operator/=;(row_vector x, real y);void;481
operator/=;(vector x, real y);void;481
operator<;(int x, int y);int;424
operator<;(real x, real y);int;424
operator<=;(int x, int y);int;425
operator<=;(real x, real y);int;425
operator==;(int x, int y);int;425
operator==;(real x, real y);int;425
operator>;(int x, int y);int;425
operator>;(real x, real y);int;425
operator>=;(int x, int y);int;425
operator>=;(real x, real y);int;425
operator\%;(int x, int y);int;419
operator\;(matrix A, matrix B);matrix;468
operator\;(matrix A, vector b);vector;468
operator^;(real x, real y);real;428
operator||;(int x, int y);int;426
operator||;(real x, real y);int;426
ordered_logistic;~;real;502
ordered_logistic_lpmf;(int k | real eta, vector c);real;502
ordered_logistic_rng;(real eta, vector c);int;502
owens_t;(real h, real a);real;438
pareto;~;real;528
pareto_cdf;(reals y, reals y_min, reals alpha);real;528
pareto_lccdf;(reals y | reals y_min, reals alpha);real;528
pareto_lcdf;(reals y | reals y_min, reals alpha);real;528
pareto_lpdf;(reals y | reals y_min, reals alpha);real;528
pareto_rng;(real y_min, real alpha);real;528
pareto_type_2;~;real;529
pareto_type_2_cdf;(reals y, reals mu, reals lambda, reals alpha);real;529
pareto_type_2_lccdf;(reals y | reals mu, reals lambda, reals alpha);real;529
pareto_type_2_lcdf;(reals y | reals mu, reals lambda, reals alpha);real;529
pareto_type_2_lpdf;(reals y | reals mu, reals lambda, reals alpha);real;529
pareto_type_2_rng;(real mu, real lambda, real alpha);real;529
pi;();real;423
poisson;~;real;506
poisson_cdf;(ints n, reals lambda);real;506
poisson_lccdf;(ints n | reals lambda);real;506
poisson_lcdf;(ints n | reals lambda);real;506
poisson_log;~;real;507
poisson_log_lpmf;(ints n | reals alpha);real;507
poisson_log_rng;(real alpha);int;507
poisson_lpmf;(ints n | reals lambda);real;506
poisson_rng;(real lambda);int;506
positive_infinity;();real;423
pow;(real x, real y);real;433
print;(T1 x1,..., TN xN);void;416
prod;(int[] x);real;445
prod;(matrix x);real;460
prod;(real[] x);real;445
prod;(row_vector x);real;460
prod;(vector x);real;460
qr_Q;(matrix A);matrix;471
qr_R;(matrix A);matrix;471
quad_form;(matrix A, matrix B);matrix;458
quad_form;(matrix A, vector B);real;458
quad_form_diag;(matrix m, row_vector rv);matrix;458
quad_form_diag;(matrix m, vector v);matrix;458
quad_form_sym;(matrix A, matrix B);matrix;458
quad_form_sym;(matrix A, vector B);real;459
rank;(int[] v, int s);int;451
rank;(real[] v, int s);int;451
rank;(row_vector v, int s);int;472
rank;(vector v, int s);int;472
rayleigh;~;real;526
rayleigh_cdf;(real y, real sigma);real;526
rayleigh_lccdf;(real y | real sigma);real;526
rayleigh_lcdf;(real y | real sigma);real;526
rayleigh_lpdf;(reals y | reals sigma);real;526
rayleigh_rng;(real sigma);real;526
reject;(T1 x1,..., TN xN);void;417
rep_array;(T x, int k, int m, int n);T[];449
rep_array;(T x, int m, int n);T[];448
rep_array;(T x, int n);T[];448
rep_matrix;(real x, int m, int n);matrix;462
rep_matrix;(row_vector rv, int m);matrix;462
rep_matrix;(vector v, int n);matrix;462
rep_row_vector;(real x, int n);row_vector;461
rep_vector;(real x, int m);vector;461
rising_factorial;(real x, real n);real;442
round;(T x);R;431
row;(matrix x, int m);row_vector;463
rows;(matrix x);int;452
rows;(row_vector x);int;452
rows;(vector x);int;452
rows_dot_product;(matrix x, matrix y);vector;457
rows_dot_product;(row_vector x, row_vector y);vector;457
rows_dot_product;(vector x, vector y);vector;457
rows_dot_self;(matrix x);vector;458
rows_dot_self;(row_vector x);vector;458
rows_dot_self;(vector x);vector;458
scaled_inv_chi_square;~;real;520
scaled_inv_chi_square_cdf;(reals y, reals nu, reals sigma);real;521
scaled_inv_chi_square_lccdf;(reals y | reals nu, reals sigma);real;521
scaled_inv_chi_square_lcdf;(reals y | reals nu, reals sigma);real;521
scaled_inv_chi_square_lpdf;(reals y | reals nu, reals sigma);real;521
scaled_inv_chi_square_rng;(real nu, real sigma);real;521
sd;(matrix x);real;461
sd;(real[] x);real;446
sd;(row_vector x);real;461
sd;(vector x);real;461
segment;(T[] sv, int i, int n);T[];464
segment;(row_vector rv, int i, int n);row_vector;464
segment;(vector v, int i, int n);vector;464
sin;(T x);R;434
singular_values;(matrix A);vector;471
sinh;(T x);R;435
size;(T[] x);int;448
skew_normal;~;real;512
skew_normal_cdf;(reals y, reals xi, reals omega, reals alpha);real;512
skew_normal_lccdf;(reals y | reals xi, reals omega, reals alpha);real;512
skew_normal_lcdf;(reals y | reals xi, reals omega, reals alpha);real;512
skew_normal_lpdf;(reals y | reals xi, reals omega, reals alpha);real;512
skew_normal_rng;(real xi, real omega, real alpha);real;512
softmax;(vector x);vector;466
sort_asc;(int[] v);int[];450
sort_asc;(real[] v);real[];450
sort_asc;(row_vector v);row_vector;472
sort_asc;(vector v);vector;472
sort_desc;(int[] v);int[];450
sort_desc;(real[] v);real[];450
sort_desc;(row_vector v);row_vector;472
sort_desc;(vector v);vector;472
sort_indices_asc;(int[] v);int[];451
sort_indices_asc;(real[] v);int[];450
sort_indices_asc;(row_vector v);int[];472
sort_indices_asc;(vector v);int[];472
sort_indices_desc;(int[] v);int[];451
sort_indices_desc;(real[] v);int[];451
sort_indices_desc;(row_vector v);int[];472
sort_indices_desc;(vector v);int[];472
sqrt2;();real;423
sqrt;(T x);R;431
square;(T x);R;432
squared_distance;(row_vector x, row_vector[] y);real;447
squared_distance;(row_vector x, vector[] y);real;447
squared_distance;(vector x, row_vector[] y);real;447
squared_distance;(vector x, vector y);real;447
step;(real x);real;427
student_t;~;real;513
student_t_cdf;(reals y, reals nu, reals mu, reals sigma);real;513
student_t_lccdf;(reals y | reals nu, reals mu, reals sigma);real;513
student_t_lcdf;(reals y | reals nu, reals mu, reals sigma);real;513
student_t_lpdf;(reals y | reals nu, reals mu, reals sigma);real;513
student_t_rng;(real nu, real mu, real sigma);real;513
sub_col;(matrix x, int i, int j, int n_rows);vector;463
sub_row;(matrix x, int i, int j, int n_cols);row_vector;463
sum;(int[] x);int;445
sum;(matrix x);real;460
sum;(real[] x);real;445
sum;(row_vector x);real;460
sum;(vector x);real;460
tail;(T[] sv, int n);T[];464
tail;(row_vector rv, int n);row_vector;464
tail;(vector v, int n);vector;464
tan;(T x);R;434
tanh;(T x);R;435
target;();real;424
tcrossprod;(matrix x);matrix;458
tgamma;(T x);R;438
to_array_1d;(int[...] a);int[];478
to_array_1d;(matrix m);real[];478
to_array_1d;(real[...] a);real[];478
to_array_1d;(row_vector v);real[];478
to_array_1d;(vector v);real[];478
to_array_2d;(matrix m);real[,];478
to_matrix;(int[,] a);matrix;477
to_matrix;(int[] a, int m, int n);matrix;477
to_matrix;(int[] a, int m, int n, int col_major);matrix;477
to_matrix;(matrix m);matrix;476
to_matrix;(matrix m, int m, int n);matrix;476
to_matrix;(matrix m, int m, int n, int col_major);matrix;476
to_matrix;(real[,] a);matrix;477
to_matrix;(real[] a, int m, int n);matrix;476
to_matrix;(real[] a, int m, int n, int col_major);matrix;477
to_matrix;(row_vector v);matrix;476
to_matrix;(row_vector v, int m, int n);matrix;476
to_matrix;(row_vector v, int m, int n, int col_major);matrix;476
to_matrix;(vector v);matrix;476
to_matrix;(vector v, int m, int n);matrix;476
to_matrix;(vector v, int m, int n, int col_major);matrix;476
